'Agency Name','Days after Jan 1','Hours past Midnight','Route Type','Related Non-Motorist','Collision Type',Weather,'Surface Condition',Light,'Traffic Control','Driver Substance Abuse','Non-Motorist Substance Abuse','Pedestrian Movement','Pedestrian Actions','Pedestrian Location','At Fault','Safety Equipment','Lat- Normalized','Long- Normalized','Injury Severity'
MONTGOMERY,45533,14,County,Pedestrian,'SAME DIR REAR END',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'INSIDE BUILDING',No,None,0.64642,0.889357,'Possible Injury'
MONTGOMERY,45447,6.65,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'TRAFFIC SIGNAL','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',No,None,0.636443,0.927317,'Suspected Serious Injury'
MONTGOMERY,45626,16.317,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected',Standing,None,'ON ROADWAY AT CROSSWALK',No,None,0.575323,0.923916,'Possible Injury'
MONTGOMERY,45586,22.567,County,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Not Lighted','NO CONTROLS','None Detected','None Detected','Cross/Enter at Intersection',None,'ON ROADWAY AT CROSSWALK',Yes,None,0.762393,0.834204,'Suspected Minor Injury'
MONTGOMERY,45443,11.95,County,Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'NO CONTROLS','None Detected','None Detected',Standing,None,'ON ROADWAY AT CROSSWALK',No,None,0.603022,0.925017,'Suspected Minor Injury'
MONTGOMERY,45377,22.75,'Private Route',Pedestrian,'Single Vehicle',Cloudy,Dry,'Dark - Lighted','Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION UNMARKED CROSSWALK',No,None,0.613316,0.929064,'Suspected Minor Injury'
ROCKVILLE,45357,12.033,Municipality,Pedestrian,'Single Vehicle',Cloudy,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.616501,0.893231,'Suspected Minor Injury'
MONTGOMERY,45394,15.5,'Maryland (State)',Pedestrian,'Single Vehicle',Clear,Dry,Daylight,'Pedestrian Crossing','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION MARKED CROSSWALK',No,None,0.497216,0.916871,'Suspected Minor Injury'
MONTGOMERY,45350,20.25,Municipality,Pedestrian,'Single Vehicle',Clear,Dry,'Dark - Lighted','STOP SIGN','None Detected','None Detected','Cross/Enter at Intersection',None,'AT INTERSECTION UNMARKED CROSSWALK',No,None,0.588979,0.910369,'Possible Injury'
TAKOMA,45406,19.417,County,'Cyclist (non-electric)','Single Vehicle',Clear,Dry,Daylight,'STOP SIGN','None Detected','None Detected','Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane)','FAILURE TO YIELD RIGHT OF WAY','AT INTERSECTION UNMARKED CROSSWALK',Yes,None,0.496252,0.960677,'Suspected Minor Injury'
